Airline,FlightNum,PlanTime,ActualTime,Direction,Airport,City,Country,Terminal,Status,TotalDelay
QY,961,2024-03-13 00:45:00,2024-03-13 01:02:00,D,LEJ,LEIPZIG,GERMANY,3,DEPARTED,17.0
LY,974,2024-03-13 00:45:00,2024-03-13 01:02:00,A,DXB,DUBAI,UNITED ARAB EMIRATES,3,LANDED,17.0
AA,8372,2024-03-13 00:45:00,2024-03-13 01:02:00,A,LHR,LONDON,UNITED KINGDOM,3,LANDED,17.0
LY,316,2024-03-13 00:55:00,2024-03-13 01:05:00,A,LHR,LONDON,UNITED KINGDOM,3,LANDED,10.0
311,T7CPX,2024-03-13 00:55:00,2024-03-13 01:05:00,A,CMF,CHAMBERY,FRANCE,3,LANDED,10.0
A9,700,2024-03-13 00:55:00,2024-03-13 01:05:00,D,TBS,TBILISI,GEORGIA,1,DEPARTED,10.0
LY,543,2024-03-13 00:05:00,2024-03-13 01:07:00,D,ATH,ATHENS,GREECE,3,DEPARTED,62.0
PC,785,2024-03-13 00:05:00,2024-03-13 01:07:00,A,SAW,ISTANBUL,TURKEY,3,LANDED,62.0
EZY,1828,2024-03-13 00:05:00,2024-03-13 01:07:00,D,MAN,MANCHESTER,UNITED KINGDOM,3,DEPARTED,62.0
IZ,822,2024-03-13 00:10:00,2024-03-13 01:10:00,A,ETM,RAMON,ISRAEL,1,LANDED,60.0
FR,5526,2024-03-13 00:10:00,2024-03-13 01:10:00,D,SKG,THESSALONIKI,GREECE,3,DEPARTED,60.0
U8,102,2024-03-13 00:45:00,2024-03-13 01:12:00,A,LCA,LARNACA,CYPRUS,3,LANDED,27.0
6H,722,2024-03-13 00:45:00,2024-03-13 01:12:00,A,SOF,SOFIA,BULGARIA,3,LANDED,27.0
IZ,828,2024-03-13 00:45:00,2024-03-13 01:12:00,A,ETM,RAMON,ISRAEL,1,LANDED,27.0
TK,789,2024-03-13 00:45:00,2024-03-13 01:12:00,D,IST,ISTANBUL,TURKEY,3,DEPARTED,27.0
5X,267,2024-03-13 01:20:00,2024-03-13 01:16:00,D,CGN,COLOGNE,GERMANY,3,DEPARTED,0.0
LY,2432,2024-03-13 01:30:00,2024-03-13 01:18:00,A,LCA,LARNACA,CYPRUS,3,LANDED,0.0
FR,6769,2024-03-13 01:00:00,2024-03-13 01:23:00,D,BUD,BUDAPEST,HUNGARY,3,DEPARTED,23.0
JU,8255,2024-03-13 01:00:00,2024-03-13 01:23:00,A,IST,ISTANBUL,TURKEY,3,LANDED,23.0
TK,790,2024-03-13 01:00:00,2024-03-13 01:23:00,A,IST,ISTANBUL,TURKEY,3,LANDED,23.0
6H,458,2024-03-13 01:00:00,2024-03-13 01:23:00,A,ETM,RAMON,ISRAEL,1,LANDED,23.0
AHS,OELML,2024-03-13 01:00:00,2024-03-13 01:26:00,A,LBG,PARIS,FRANCE,3,CANCELED,26.0
QAS,DAGBF,2024-03-13 01:00:00,2024-03-13 01:26:00,A,MUC,MUNICH,GERMANY,3,LANDED,26.0
AA,8850,2024-03-13 01:00:00,2024-03-13 01:26:00,A,MAD,MADRID,SPAIN,3,LANDED,26.0
IB,3316,2024-03-13 01:30:00,2024-03-13 01:38:00,A,MAD,MADRID,SPAIN,3,LANDED,8.0
LY,8396,2024-03-13 01:30:00,2024-03-13 01:38:00,A,MAD,MADRID,SPAIN,3,LANDED,8.0
VY,5269,2024-03-13 02:45:00,2024-03-13 02:32:00,A,MAD,MADRID,SPAIN,3,LANDED,0.0
TK,7710,2024-03-13 03:00:00,2024-03-13 02:36:00,A,SAW,ISTANBUL,TURKEY,3,LANDED,0.0
QAS,MSAGI,2024-03-13 03:00:00,2024-03-13 02:36:00,A,LCA,LARNACA,CYPRUS,3,CANCELED,0.0
LY,081,2024-03-13 02:30:00,2024-03-13 02:59:00,D,BKK,BANGKOK,THAILAND,3,DEPARTED,29.0
QF,5020,2024-03-13 02:30:00,2024-03-13 02:59:00,D,BKK,BANGKOK,THAILAND,3,DEPARTED,29.0
TG,4584,2024-03-13 02:55:00,2024-03-13 03:12:00,D,BKK,BANGKOK,THAILAND,3,DEPARTED,17.0
VN,3298,2024-03-13 02:55:00,2024-03-13 03:12:00,D,BKK,BANGKOK,THAILAND,3,DEPARTED,17.0
HM,022,2024-03-13 02:55:00,2024-03-13 03:12:00,A,SEZ,MAHE SEYCHELLES,SEYCHELLES,3,LANDED,17.0
IZ,297,2024-03-13 03:20:00,2024-03-13 03:20:00,D,IAS,IASI,ROMANIA,1,DEPARTED,0.0
VJT,9HVCD,2024-03-13 03:40:00,2024-03-13 03:28:00,A,LIN,MILAN,ITALY,3,LANDED,0.0
RO,153,2024-03-13 03:55:00,2024-03-13 03:40:00,A,OTP,BUCHAREST,ROMANIA,3,LANDED,0.0
LAU,9HAMY,2024-03-13 03:55:00,2024-03-13 03:40:00,A,LTN,LONDON LUTON,UNITED KINGDOM,3,LANDED,0.0
EK,2367,2024-03-13 03:55:00,2024-03-13 03:40:00,A,DXB,DUBAI,UNITED ARAB EMIRATES,3,LANDED,0.0
FZ,1627,2024-03-13 03:45:00,2024-03-13 03:45:00,A,DXB,DUBAI,UNITED ARAB EMIRATES,3,LANDED,0.0
5W,7085,2024-03-13 03:45:00,2024-03-13 03:45:00,A,AUH,ABU DHABI,UNITED ARAB EMIRATES,3,LANDED,0.0
AA,053,2024-03-13 03:35:00,2024-03-13 03:55:00,D,MIA,MIAMI,UNITED STATES,3,DEPARTED,20.0
UA,091,2024-03-13 03:20:00,2024-03-13 04:25:00,D,EWR,NEWARK,UNITED STATES,3,DEPARTED,65.0
AY,1979,2024-03-13 05:05:00,2024-03-13 04:26:00,A,HEL,HELSINKI,FINLAND,3,LANDED,0.0
LY,618,2024-03-13 05:05:00,2024-03-13 04:26:00,A,DME,MOSCOW,RUSSIAN FEDERATION,3,LANDED,0.0
LY,692,2024-03-13 05:05:00,2024-03-13 04:26:00,A,TBS,TBILISI,GEORGIA,3,LANDED,0.0
EK,2345,2024-03-13 05:05:00,2024-03-13 04:26:00,A,DXB,DUBAI,UNITED ARAB EMIRATES,3,LANDED,0.0
FZ,1807,2024-03-13 04:35:00,2024-03-13 04:31:00,A,DXB,DUBAI,UNITED ARAB EMIRATES,3,LANDED,0.0
PC,779,2024-03-13 05:05:00,2024-03-13 04:53:00,A,SAW,ISTANBUL,TURKEY,3,LANDED,0.0
6H,662,2024-03-13 05:15:00,2024-03-13 05:30:00,A,DXB,DUBAI,UNITED ARAB EMIRATES,3,CANCELED,15.0
460,4XCMC,2024-03-13 05:15:00,2024-03-13 05:30:00,A,BCM,BACAU,ROMANIA,3,LANDED,15.0
LY,364,2024-03-13 05:15:00,2024-03-13 05:30:00,A,VIE,VIENNA,AUSTRIA,3,LANDED,15.0
DL,235,2024-03-13 05:20:00,2024-03-13 05:32:00,D,JFK,NEW YORK,UNITED STATES,3,DEPARTED,12.0
JU,8256,2024-03-13 05:20:00,2024-03-13 05:32:00,D,IST,ISTANBUL,TURKEY,3,DEPARTED,12.0
TK,791,2024-03-13 05:20:00,2024-03-13 05:39:00,D,IST,ISTANBUL,TURKEY,3,DEPARTED,19.0
QAS,N451C,2024-03-13 05:20:00,2024-03-13 05:39:00,D,FAR,FARO,UNITED STATES,3,DEPARTED,19.0
RO,154,2024-03-13 06:15:00,2024-03-13 05:54:00,D,OTP,BUCHAREST,ROMANIA,1,DEPARTED,0.0
LY,572,2024-03-13 06:15:00,2024-03-13 05:54:00,A,OTP,BUCHAREST,ROMANIA,3,LANDED,0.0
A3,928,2024-03-13 06:15:00,2024-03-13 05:54:00,A,ATH,ATHENS,GREECE,3,LANDED,0.0
341,4XCUZ,2024-03-13 06:15:00,2024-03-13 05:54:00,A,RIX,RIGA,LATVIA,3,LANDED,0.0
LAU,N1916,2024-03-13 06:35:00,2024-03-13 06:07:00,D,IAS,IASI,ROMANIA,3,DEPARTED,0.0
LY,5458,2024-03-13 06:35:00,2024-03-13 06:07:00,A,IAS,IASI,ROMANIA,3,LANDED,0.0
EK,2368,2024-03-13 06:35:00,2024-03-13 06:07:00,D,DXB,DUBAI,UNITED ARAB EMIRATES,1,DEPARTED,0.0
FZ,1628,2024-03-13 05:35:00,2024-03-13 06:08:00,D,DXB,DUBAI,UNITED ARAB EMIRATES,1,DEPARTED,33.0
IZ,626,2024-03-13 06:00:00,2024-03-13 06:17:00,A,BBK,KASANE INTERNAT,BOTSWANA,3,LANDED,17.0
5W,7086,2024-03-13 06:00:00,2024-03-13 06:17:00,D,AUH,ABU DHABI,UNITED ARAB EMIRATES,1,DEPARTED,17.0
AA,145,2024-03-13 05:50:00,2024-03-13 06:19:00,D,JFK,NEW YORK,UNITED STATES,3,DEPARTED,29.0
AY,1980,2024-03-13 05:50:00,2024-03-13 06:19:00,D,HEL,HELSINKI,FINLAND,1,DEPARTED,29.0
ET,405,2024-03-13 05:50:00,2024-03-13 06:19:00,D,ADD,ADDIS ABABA,ETHIOPIA,3,DEPARTED,29.0
LY,8807,2024-03-13 05:50:00,2024-03-13 06:19:00,D,ADD,ADDIS ABABA,ETHIOPIA,3,DEPARTED,29.0
AM,7869,2024-03-13 05:55:00,2024-03-13 06:23:00,D,JFK,NEW YORK,UNITED STATES,3,DEPARTED,28.0
AR,7853,2024-03-13 05:55:00,2024-03-13 06:23:00,D,JFK,NEW YORK,UNITED STATES,3,DEPARTED,28.0
LY,001,2024-03-13 05:55:00,2024-03-13 06:23:00,D,JFK,NEW YORK,UNITED STATES,3,DEPARTED,28.0
UA,955,2024-03-13 06:10:00,2024-03-13 06:26:00,D,SFO,SAN FRANCISCO,UNITED STATES,3,DEPARTED,16.0
LY,027,2024-03-13 06:10:00,2024-03-13 06:28:00,D,EWR,NEWARK,UNITED STATES,3,DEPARTED,18.0
AR,7851,2024-03-13 06:10:00,2024-03-13 06:28:00,D,MIA,MIAMI,UNITED STATES,3,DEPARTED,18.0
LY,017,2024-03-13 06:10:00,2024-03-13 06:28:00,D,MIA,MIAMI,UNITED STATES,3,DEPARTED,18.0
LY,616,2024-03-13 06:10:00,2024-03-13 06:28:00,A,DME,MOSCOW,RUSSIAN FEDERATION,3,LANDED,18.0
AM,7875,2024-03-13 05:55:00,2024-03-13 06:35:00,D,LAX,LOS ANGELES,UNITED STATES,3,DEPARTED,40.0
LY,005,2024-03-13 05:55:00,2024-03-13 06:35:00,D,LAX,LOS ANGELES,UNITED STATES,3,DEPARTED,40.0
EK,2346,2024-03-13 06:30:00,2024-03-13 06:37:00,D,DXB,DUBAI,UNITED ARAB EMIRATES,1,DEPARTED,7.0
FZ,1808,2024-03-13 06:30:00,2024-03-13 06:39:00,D,DXB,DUBAI,UNITED ARAB EMIRATES,1,DEPARTED,9.0
LY,544,2024-03-13 06:50:00,2024-03-13 06:44:00,A,ATH,ATHENS,GREECE,3,LANDED,0.0
FB,571,2024-03-13 06:15:00,2024-03-13 06:45:00,A,SOF,SOFIA,BULGARIA,3,LANDED,30.0
6H,666,2024-03-13 06:15:00,2024-03-13 06:45:00,A,DXB,DUBAI,UNITED ARAB EMIRATES,3,CANCELED,30.0
AF,8425,2024-03-13 06:15:00,2024-03-13 06:45:00,A,AMS,AMSTERDAM,NETHERLANDS,3,LANDED,30.0
DL,9575,2024-03-13 06:15:00,2024-03-13 06:45:00,A,AMS,AMSTERDAM,NETHERLANDS,3,LANDED,30.0
