Airline,FlightNum,PlanTime,ActualTime,Direction,Airport,City,Country,Terminal,Status
LY,388,2024-03-13 00:55:00,2024-03-13 01:05:00,A,MXP,MILAN,ITALY,3,LANDED
SK,3180,2024-03-13 00:55:00,2024-03-13 01:05:00,A,MXP,MILAN,ITALY,3,LANDED
TP,8901,2024-03-13 00:55:00,2024-03-13 01:05:00,A,MXP,MILAN,ITALY,3,LANDED
B6,6481,2024-03-13 00:05:00,2024-03-13 01:07:00,D,EWR,NEWARK,UNITED STATES,3,DEPARTED
DL,7441,2024-03-13 00:05:00,2024-03-13 01:07:00,D,EWR,NEWARK,UNITED STATES,3,DEPARTED
LY,25,2024-03-13 00:05:00,2024-03-13 01:07:00,D,EWR,NEWARK,UNITED STATES,3,DEPARTED
LY,328,2024-03-13 00:10:00,2024-03-13 01:10:00,A,CDG,PARIS,FRANCE,3,LANDED
SK,3162,2024-03-13 00:10:00,2024-03-13 01:10:00,A,CDG,PARIS,FRANCE,3,LANDED
AM,7875,2024-03-13 00:45:00,2024-03-13 01:12:00,D,LAX,LOS ANGELES,UNITED STATES,3,DEPARTED
B6,6461,2024-03-13 00:45:00,2024-03-13 01:12:00,D,LAX,LOS ANGELES,UNITED STATES,3,DEPARTED
DL,7428,2024-03-13 00:45:00,2024-03-13 01:12:00,D,LAX,LOS ANGELES,UNITED STATES,3,DEPARTED
LY,5,2024-03-13 00:45:00,2024-03-13 01:12:00,D,LAX,LOS ANGELES,UNITED STATES,3,DEPARTED
BZ,701,2024-03-13 01:20:00,2024-03-13 01:16:00,A,ATH,ATHENS,GREECE,3,LANDED
LY,544,2024-03-13 01:30:00,2024-03-13 01:18:00,A,ATH,ATHENS,GREECE,3,LANDED
AR,7851,2024-03-13 01:00:00,2024-03-13 01:23:00,D,MIA,MIAMI,UNITED STATES,3,DEPARTED
B6,6467,2024-03-13 01:00:00,2024-03-13 01:23:00,D,MIA,MIAMI,UNITED STATES,3,DEPARTED
DL,7437,2024-03-13 01:00:00,2024-03-13 01:23:00,D,MIA,MIAMI,UNITED STATES,3,DEPARTED
LY,17,2024-03-13 01:00:00,2024-03-13 01:23:00,D,MIA,MIAMI,UNITED STATES,3,DEPARTED
B6,6483,2024-03-13 01:00:00,2024-03-13 01:26:00,D,EWR,NEWARK,UNITED STATES,3,DEPARTED
DL,7443,2024-03-13 01:00:00,2024-03-13 01:26:00,D,EWR,NEWARK,UNITED STATES,3,DEPARTED
LY,27,2024-03-13 01:00:00,2024-03-13 01:26:00,D,EWR,NEWARK,UNITED STATES,3,DEPARTED
